medium_0,2,21.12,4,20.8,out-of-bounds,60
medium_1,3,53.87,out-of-bounds,60,6,24.31
medium_2,4,30.79,4,33.89,5,29.76
medium_3,4,31.13,6,34.4,3,29.06
medium_4,out-of-bounds,60,9,21.33,3,20.77
medium_5,3,21.45,6,22.74,out-of-bounds,60
medium_6,4,33.19,1,35.01,0,34.52
medium_7,7,40.27,8,28.46,7,26.69
medium_8,8,21.77,out-of-bounds,60,out-of-bounds,60
medium_9,2,29.54,2,31.6,4,32.08
medium_10,7,35.35,5,32.09,5,40.25
medium_11,6,21.17,out-of-bounds,60,out-of-bounds,60
medium_12,8,20.84,out-of-bounds,60,out-of-bounds,60
medium_13,6,21.12,3,26.5,7,21.8
medium_14,5,28.94,5,20.36,5,27.37
medium_15,4,31.68,5,34.82,5,35.46
medium_16,6,26.79,7,20.54,2,33.12
medium_17,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_18,4,21.13,out-of-bounds,60,12,22.57
medium_19,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_20,5,20.55,5,20.64,6,20.31
medium_21,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_22,9,20.89,5,20.63,7,20.74
medium_23,3,21.81,5,23.19,1,23.6
medium_24,8,20.84,5,28.98,9,21.31
medium_25,out-of-bounds,60,2,34.64,out-of-bounds,60
medium_26,7,39.34,7,32.72,4,33.52
medium_27,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_28,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_29,4,33.41,6,31.9,5,32.95
medium_30,5,31.35,3,30.08,4,30.61
medium_31,out-of-bounds,60,out-of-bounds,60,6,21.22
medium_32,0,20.83,4,20.38,2,20.6
medium_33,out-of-bounds,60,9,22.09,8,24.18
medium_34,out-of-bounds,60,out-of-bounds,60,4,21.95
medium_35,6,29.79,4,22.5,4,22.9
medium_36,2,33.63,2,32.96,3,35.08
medium_37,out-of-bounds,60,10,21.38,out-of-bounds,60
medium_38,6,25.25,1,34.88,out-of-bounds,60
medium_39,3,21.55,out-of-bounds,60,out-of-bounds,60
medium_40,out-of-bounds,60,6,20.79,out-of-bounds,60
medium_41,4,28.88,4,39.16,4,41.1
medium_42,5,34.09,6,33.88,4,37.1
medium_43,6,38.82,4,30.2,4,28.58
medium_44,2,37.25,1,30.38,4,31.15
medium_45,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_46,8,20.87,7,20.94,8,20.96
medium_47,4,24.22,3,21.07,2,20.84
medium_48,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_49,out-of-bounds,60,out-of-bounds,60,7,21.13
medium_50,6,20.95,4,21.92,out-of-bounds,60
medium_51,6,37.77,3,35.57,8,29.24
medium_52,4,31.29,4,20.84,8,23.35
medium_53,3,29.36,5,30.94,6,22.82
medium_54,6,21.4,4,30.22,7,30.74
medium_55,4,30.56,3,30.77,5,32.41
medium_56,5,27.72,5,31.64,5,31.83
medium_57,7,22.13,5,30.75,3,27.67
medium_58,6,20.92,7,31.16,8,21.03
medium_59,5,31.32,7,28.05,8,30.54
medium_60,7,32.88,3,33.14,4,30.68
medium_61,5,32.03,6,33.73,4,30.61
medium_62,4,31.86,6,28.62,6,30.02
medium_63,5,29.39,7,29.57,3,33.92
medium_64,8,30.6,8,28.16,6,32.2
medium_65,4,30.46,6,29.51,2,26.91
medium_66,6,28.96,5,33.05,6,27.34
medium_67,7,25.04,3,32.19,7,29.94
medium_68,7,22.87,6,31.46,4,31.23
medium_69,8,29.81,4,32.11,5,30.27
medium_70,7,33.71,7,31.38,12,23.73
medium_71,3,33.27,6,31.5,5,29.95
medium_72,9,21.09,5,30.78,8,33.76
medium_73,3,27.14,5,24.72,5,28.17
medium_74,8,31.93,4,29.96,8,25.33
medium_75,3,31.15,8,21.09,7,21.91
medium_76,9,22.5,6,31.41,4,30.23
medium_77,6,27.27,4,30.35,3,34.36
medium_78,3,30.87,12,24.29,7,22.24
medium_79,4,25.89,7,22.9,6,25.03
medium_80,5,28.74,4,29.45,6,35.79
medium_81,8,21.22,4,29.22,4,30.31
medium_82,4,29.94,6,33.82,8,30.1
medium_83,7,30.34,4,28.23,6,28.92
medium_84,6,32.74,5,30.05,4,27.41
medium_85,6,31.11,8,32.78,6,26.19
medium_86,out-of-bounds,60,out-of-bounds,60,6,32.29
medium_87,7,32.36,6,31.82,3,27.46
medium_88,5,30.64,9,31.98,5,27.7
medium_89,5,33.66,4,31.13,5,31.15
medium_90,3,30.33,9,21.11,7,34.79
medium_91,7,31.9,5,31.59,5,24.94
medium_92,4,31.22,6,30.2,6,28.86
medium_93,2,33.27,6,29.99,3,35.64
medium_94,4,25.81,5,30.41,8,28.97
medium_95,6,34.93,3,29.61,5,28.36
medium_96,6,33.14,4,26.94,4,30.03
medium_97,8,28.19,6,35.59,4,31.73
medium_98,5,32.84,5,24.7,5,29.68
medium_99,6,31.95,5,25.34,6,32.34
medium_100,5,30.72,5,28.37,7,35.15
hard_0,5,21.48,6,21.3,out-of-bounds,60
hard_1,7,21.34,8,24.34,16,27.89
hard_2,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
hard_3,2,29.33,4,27.72,3,26.48
hard_4,4,36.45,14,33.55,6,32.18
hard_5,10,22.01,9,22.04,9,24.92
hard_6,out-of-bounds,60,out-of-bounds,60,9,22.28
hard_7,7,22.4,8,21.78,6,25.11
hard_8,10,21.62,4,20.27,8,22.33
hard_9,8,22.46,4,21.12,6,23.38
hard_10,12,24.99,5,24.63,5,21.97
hard_11,7,21.41,10,22.64,6,21.95
hard_12,10,34.81,6,30.03,6,30.71
hard_13,9,23.59,out-of-bounds,60,out-of-bounds,60
hard_14,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
hard_15,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
hard_16,out-of-bounds,60,5,22.56,7,21.65
hard_17,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
hard_18,10,24.28,4,26.91,9,24.56
hard_19,8,32.54,13,29.88,7,29.7
hard_20,9,21.63,out-of-bounds,60,10,22.99
hard_21,10,21.78,13,23.61,4,22.99
hard_22,9,22.0,out-of-bounds,60,out-of-bounds,60
hard_23,12,21.44,12,23.43,9,21.74
hard_24,10,23.3,9,22.54,10,21.24
hard_25,12,24.86,11,20.71,12,21.68
hard_26,9,21.68,11,21.6,11,22.19
hard_27,10,22.45,7,21.93,out-of-bounds,60
hard_28,12,21.45,9,23.81,7,21.43
hard_29,6,22.01,9,27.06,6,22.11
hard_30,8,23.29,6,23.14,out-of-bounds,60
hard_31,10,23.64,9,22.17,9,22.45
hard_32,11,22.41,12,21.84,9,21.12
hard_33,10,21.28,7,21.17,9,22.81
hard_34,8,21.0,8,21.83,13,21.86
hard_35,10,22.78,10,21.01,9,21.67
hard_36,10,23.88,5,21.72,18,24.54
hard_37,7,23.04,6,22.16,9,26.47
hard_38,11,22.43,out-of-bounds,60,out-of-bounds,60
hard_39,11,21.33,9,23.86,9,23.02
hard_40,10,22.85,out-of-bounds,60,11,22.2
hard_41,17,23.88,11,22.28,17,26.53
hard_42,5,22.83,14,22.25,7,22.63
hard_43,out-of-bounds,60,10,21.91,10,21.91
hard_44,13,23.15,16,21.43,11,24.9
hard_45,4,25.63,12,21.34,5,20.98
hard_46,9,23.58,6,22.23,5,21.53
hard_47,11,22.3,11,22.53,6,22.7
hard_48,out-of-bounds,60,12,21.37,out-of-bounds,60
hard_49,10,21.37,8,22.63,11,22.05
hard_50,10,24.02,7,21.58,10,24.83
hard_51,6,21.7,7,22.07,7,21.23
hard_52,9,24.67,10,21.5,9,21.59
hard_53,6,22.42,5,21.89,9,22.27
hard_54,10,21.38,8,21.99,8,22.18
hard_55,10,21.82,8,22.37,8,21.67
hard_56,10,21.98,11,23.04,8,22.15
hard_57,7,21.34,11,23.05,11,22.04
hard_58,10,21.59,13,22.98,9,23.18
hard_59,8,21.47,8,21.45,7,21.36
hard_60,out-of-bounds,60,9,22.06,8,21.57
hard_61,9,21.19,out-of-bounds,60,10,21.66
hard_62,7,22.53,8,22.29,out-of-bounds,60
hard_63,9,23.05,8,21.59,6,23.66
hard_64,8,26.21,7,21.56,10,22.05
hard_65,out-of-bounds,60,12,23.5,out-of-bounds,60
hard_66,13,22.5,9,21.09,9,21.14
hard_67,5,27.89,5,32.39,6,30.35
hard_68,9,22.07,7,21.45,5,26.34
hard_69,10,28.87,8,29.65,14,33.63
hard_70,out-of-bounds,60,9,21.24,out-of-bounds,60
hard_71,7,20.68,8,22.28,out-of-bounds,60
hard_72,7,21.71,11,22.92,8,21.69
hard_73,17,22.85,out-of-bounds,60,out-of-bounds,60
hard_74,8,22.75,8,22.04,out-of-bounds,60
hard_75,6,21.64,out-of-bounds,60,8,21.64
hard_76,out-of-bounds,60,out-of-bounds,60,8,22.07
hard_77,7,30.38,10,32.81,8,33.2
hard_78,8,23.46,7,27.18,14,29.22
hard_79,out-of-bounds,60,7,23.43,out-of-bounds,60
hard_80,10,30.86,14,27.94,12,29.69
hard_81,8,22.34,7,21.13,7,24.85
hard_82,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
hard_83,10,26.23,11,22.11,11,27.61
hard_84,8,24.07,out-of-bounds,60,out-of-bounds,60
hard_85,5,23.39,6,21.23,out-of-bounds,60
hard_86,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
hard_87,out-of-bounds,60,out-of-bounds,60,7,20.82
hard_88,9,22.01,out-of-bounds,60,8,21.71
hard_89,5,22.52,13,21.77,8,21.7
hard_90,out-of-bounds,60,out-of-bounds,60,12,22.02
hard_91,6,30.92,11,28.86,6,31.28
hard_92,out-of-bounds,60,out-of-bounds,60,9,23.77
hard_93,11,23.63,9,23.37,7,23.12
hard_94,9,22.76,7,22.39,9,22.41
hard_95,out-of-bounds,60,8,22.48,13,21.68
hard_96,out-of-bounds,60,out-of-bounds,60,4,22.93
hard_97,8,21.62,4,21.83,out-of-bounds,60
hard_98,4,30.24,7,27.41,5,32.58
hard_99,8,22.96,out-of-bounds,60,8,22.1
hard_100,9,22.9,11,22.14,out-of-bounds,60
