medium_0,4,21.13,7,20.72,8,21.18
medium_1,1,33.73,7,36.68,5,33.55
medium_2,4,29.89,3,28.97,3,30.03
medium_3,6,21.11,7,20.75,4,21.15
medium_4,2,37.19,3,36.31,6,36.22
medium_5,2,33.8,4,34.73,1,35.08
medium_6,4,30.7,out-of-bounds,60,1,30.9
medium_7,6,21.72,3,20.71,4,21.18
medium_8,3,35.43,2,34.37,1,34.45
medium_9,6,30.58,3,30.49,5,31.21
medium_10,1,32.79,5,33.34,2,33.24
medium_11,8,30.58,out-of-bounds,60,out-of-bounds,60
medium_12,4,34.3,5,32.97,3,33.79
medium_13,4,21.31,6,20.87,8,21.21
medium_14,4,37.36,5,36.66,3,36.85
medium_15,5,21.12,6,20.78,9,20.9
medium_16,0,27.94,2,27.3,0,28.36
medium_17,out-of-bounds,60,6,20.9,5,21.19
medium_18,3,21.14,5,20.68,4,21.17
medium_19,out-of-bounds,60,10,21.17,3,39.51
medium_20,0,34.67,0,34.6,3,35.11
medium_21,9,21.24,8,20.79,6,33.32
medium_22,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_23,3,34.26,0,33.91,0,34.91
medium_24,2,37.82,out-of-bounds,60,3,35.33
medium_25,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_26,8,21.1,6,20.78,6,21.12
medium_27,8,21.09,8,20.76,3,21.05
medium_28,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_29,1,24.98,out-of-bounds,60,out-of-bounds,60
medium_30,5,37.59,5,37.01,6,36.79
medium_31,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_32,4,35.39,0,36.51,4,35.68
medium_33,6,29.72,5,25.46,3,28.71
medium_34,5,21.28,out-of-bounds,60,2,21.07
medium_35,3,21.04,3,20.85,3,25.24
medium_36,1,30.81,2,31.28,1,24.37
medium_37,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_38,4,31.23,5,28.11,7,30.77
medium_39,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_40,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_41,2,21.34,out-of-bounds,60,4,20.78
medium_42,4,37.09,3,36.64,3,37.94
medium_43,4,32.22,3,31.02,3,32.01
medium_44,2,36.0,2,35.13,4,35.6
medium_45,3,24.85,2,25.58,1,30.32
medium_46,1,31.55,9,29.27,out-of-bounds,60
medium_47,1,31.04,2,31.55,out-of-bounds,60
medium_48,1,27.22,4,22.71,3,27.2
medium_49,6,21.11,4,20.77,3,21.17
medium_50,7,21.22,6,20.79,5,21.22
medium_51,3,35.91,4,35.6,2,34.97
medium_52,2,21.19,out-of-bounds,60,out-of-bounds,60
medium_53,5,20.83,3,21.07,6,21.72
medium_54,out-of-bounds,60,5,31.66,4,33.12
medium_55,2,31.61,3,34.6,2,34.39
medium_56,1,35.84,3,35.3,2,36.19
medium_57,4,21.21,5,20.65,6,27.54
medium_58,1,34.18,0,32.74,0,34.23
medium_59,3,36.0,3,35.94,3,35.5
medium_60,5,21.2,7,20.89,4,21.1
medium_61,out-of-bounds,60,2,33.23,out-of-bounds,60
medium_62,6,20.67,7,21.01,5,20.71
medium_63,7,21.29,8,20.97,8,21.15
medium_64,0,30.21,0,36.22,0,36.81
medium_65,2,25.6,4,31.3,1,31.51
medium_66,3,21.03,4,20.66,5,21.07
medium_67,2,30.39,3,30.23,6,32.25
medium_68,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_69,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_70,3,21.15,4,20.59,4,21.09
medium_71,5,21.21,out-of-bounds,60,9,21.3
medium_72,3,27.92,3,27.93,5,21.23
medium_73,1,21.02,7,20.71,3,21.05
medium_74,8,38.44,5,37.47,3,38.88
medium_75,4,34.05,3,33.89,out-of-bounds,60
medium_76,out-of-bounds,60,2,30.28,5,30.31
medium_77,4,32.73,4,27.36,5,30.15
medium_78,5,28.84,4,33.41,6,32.91
medium_79,7,26.99,6,20.74,8,20.99
medium_80,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_81,0,30.88,1,29.75,out-of-bounds,60
medium_82,2,32.07,2,30.38,2,30.61
medium_83,out-of-bounds,60,out-of-bounds,60,out-of-bounds,60
medium_84,6,33.34,7,35.34,4,35.35
medium_85,6,21.24,2,20.77,4,26.17
medium_86,5,37.31,4,37.86,6,34.47
medium_87,5,33.66,6,39.06,2,32.98
medium_88,2,21.22,5,27.0,5,21.07
medium_89,5,21.28,3,20.69,5,21.14
medium_90,3,30.08,4,26.95,out-of-bounds,60
medium_91,2,33.22,2,34.18,3,32.78
medium_92,4,29.18,4,31.0,5,28.83
medium_93,6,37.45,1,36.96,4,37.87
medium_94,2,21.23,6,20.72,6,21.11
medium_95,5,35.2,1,35.27,3,35.68
medium_96,1,31.59,5,26.99,2,27.15
medium_97,4,32.21,5,32.82,3,32.71
medium_98,4,21.21,3,20.77,7,21.22
medium_99,2,31.06,5,31.4,4,32.57
medium_100,3,31.56,out-of-bounds,60,4,31.45
hard_0,out-of-bounds,60,11,21.49,17,30.06
hard_1,8,21.98,7,26.37,9,26.47
hard_2,7,22.68,5,21.16,11,29.42
hard_3,12,28.15,7,21.01,8,26.24
hard_4,6,31.56,8,35.82,8,30.53
hard_5,out-of-bounds,60,8,21.96,7,21.37
hard_6,6,21.43,7,22.35,10,21.26
